used,year,doy,sod,time,ref_clock,n_isb,n_unknowns,x_m,y_m,z_m,clock_m,gps_isb_m,gal_isb_m,glo_isb_m,geo_isb_m,bds_isb_m,qzss_isb_m,irnss_isb_m
1,2015,006,290.00,00:04:50.00,GPS,0,4,4637950.9413,121208.0506,4362374.4554,2522269.4245,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,295.00,00:04:55.00,GPS,0,4,4637951.9372,121208.2114,4362375.0620,2522270.0688,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,300.00,00:05:00.00,GPS,0,4,4637951.1994,121208.3564,4362374.0859,2522269.3086,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,305.00,00:05:05.00,GPS,0,4,4637950.5795,121207.9301,4362374.8279,2522269.5508,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,310.00,00:05:10.00,GPS,0,4,4637951.7923,121208.2509,4362375.4021,2522270.1603,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,315.00,00:05:15.00,GPS,0,4,4637951.5963,121208.4008,4362375.2544,2522270.3049,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,320.00,00:05:20.00,GPS,0,4,4637951.2388,121208.2693,4362373.8654,2522269.4217,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,325.00,00:05:25.00,GPS,0,4,4637951.8198,121208.2808,4362375.1044,2522270.3226,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,330.00,00:05:30.00,GPS,0,4,4637951.6700,121208.4075,4362375.0299,2522270.2416,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,335.00,00:05:35.00,GPS,0,4,4637951.0727,121208.5671,4362374.0948,2522269.4390,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,340.00,00:05:40.00,GPS,0,4,4637951.4471,121208.5590,4362374.6380,2522269.7968,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,345.00,00:05:45.00,GPS,0,4,4637951.9408,121208.2583,4362374.1249,2522269.7805,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,350.00,00:05:50.00,GPS,0,4,4637952.1761,121208.4656,4362375.3449,2522270.4477,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,355.00,00:05:55.00,GPS,0,4,4637951.0887,121208.3198,4362374.8843,2522269.7153,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,360.00,00:06:00.00,GPS,0,4,4637952.4575,121208.4636,4362374.9232,2522270.2635,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,365.00,00:06:05.00,GPS,0,4,4637951.9458,121208.6409,4362374.7177,2522269.9800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,370.00,00:06:10.00,GPS,0,4,4637952.0581,121208.2789,4362374.9309,2522270.1972,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,375.00,00:06:15.00,GPS,0,4,4637953.0720,121208.3580,4362375.6441,2522270.9092,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,380.00,00:06:20.00,GPS,0,4,4637952.9149,121208.8950,4362375.8892,2522271.3382,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,385.00,00:06:25.00,GPS,0,4,4637952.8671,121208.6295,4362375.0873,2522270.4765,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,390.00,00:06:30.00,GPS,0,4,4637953.5071,121209.2400,4362375.1694,2522271.1615,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,395.00,00:06:35.00,GPS,0,4,4637953.1981,121208.7761,4362375.6322,2522270.7786,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,400.00,00:06:40.00,GPS,0,4,4637952.5271,121208.4377,4362375.1793,2522270.5743,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,405.00,00:06:45.00,GPS,0,4,4637951.9522,121208.6054,4362375.2453,2522270.6177,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,410.00,00:06:50.00,GPS,0,4,4637951.5519,121208.5869,4362374.3204,2522269.4186,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,415.00,00:06:55.00,GPS,0,4,4637952.5493,121208.4324,4362375.3500,2522270.6025,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,420.00,00:07:00.00,GPS,0,4,4637951.2033,121208.7341,4362374.1875,2522269.3212,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,425.00,00:07:05.00,GPS,0,4,4637952.8315,121208.2771,4362375.4330,2522270.8566,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,430.00,00:07:10.00,GPS,0,4,4637952.2276,121208.7515,4362374.7754,2522270.5828,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,435.00,00:07:15.00,GPS,0,4,4637952.2675,121208.5448,4362375.4173,2522270.7930,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,440.00,00:07:20.00,GPS,0,4,4637952.6478,121208.7752,4362375.2026,2522270.7171,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,445.00,00:07:25.00,GPS,0,4,4637952.4525,121208.4107,4362375.4848,2522270.7851,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,450.00,00:07:30.00,GPS,0,4,4637951.7007,121208.7330,4362374.5257,2522270.1292,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,455.00,00:07:35.00,GPS,0,4,4637952.3387,121208.5613,4362375.4334,2522270.6076,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,460.00,00:07:40.00,GPS,0,4,4637951.1469,121208.5215,4362374.0762,2522269.5468,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,465.00,00:07:45.00,GPS,0,4,4637952.0743,121208.8891,4362374.9868,2522270.4235,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,470.00,00:07:50.00,GPS,0,4,4637952.2173,121208.8123,4362374.8242,2522270.4479,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,475.00,00:07:55.00,GPS,0,4,4637952.1859,121208.7081,4362374.9287,2522270.4873,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,480.00,00:08:00.00,GPS,0,4,4637951.7594,121208.3771,4362374.3560,2522269.9254,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,485.00,00:08:05.00,GPS,0,4,4637952.6869,121208.2330,4362375.8344,2522270.9398,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,490.00,00:08:10.00,GPS,0,4,4637952.3500,121208.5442,4362375.3596,2522270.8266,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,495.00,00:08:15.00,GPS,0,4,4637951.1493,121208.3915,4362374.4473,2522269.7554,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,500.00,00:08:20.00,GPS,0,4,4637952.5580,121208.9980,4362375.0750,2522270.6596,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,505.00,00:08:25.00,GPS,0,4,4637952.6596,121208.8578,4362375.4489,2522270.5455,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,510.00,00:08:30.00,GPS,0,4,4637952.3353,121208.4791,4362375.2783,2522270.5996,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,515.00,00:08:35.00,GPS,0,4,4637951.9682,121208.6397,4362374.7308,2522270.1915,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,520.00,00:08:40.00,GPS,0,4,4637952.3858,121208.6295,4362375.1396,2522270.4450,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,525.00,00:08:45.00,GPS,0,4,4637951.9628,121208.5660,4362374.7882,2522269.9019,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,530.00,00:08:50.00,GPS,0,4,4637952.6839,121208.6050,4362375.2677,2522270.6750,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,535.00,00:08:55.00,GPS,0,4,4637952.2521,121208.4678,4362374.2311,2522270.0014,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,540.00,00:09:00.00,GPS,0,4,4637951.8186,121208.5857,4362374.2189,2522270.0501,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,545.00,00:09:05.00,GPS,0,4,4637951.5013,121208.5224,4362374.0801,2522269.5817,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,550.00,00:09:10.00,GPS,0,4,4637951.3532,121208.3314,4362373.4337,2522269.0853,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,555.00,00:09:15.00,GPS,0,4,4637951.7899,121208.2331,4362374.6028,2522269.8631,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,560.00,00:09:20.00,GPS,0,4,4637953.0649,121208.6384,4362375.8525,2522271.2311,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,565.00,00:09:25.00,GPS,0,4,4637951.1097,121208.2357,4362373.4753,2522269.1037,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,570.00,00:09:30.00,GPS,0,4,4637952.2760,121208.7234,4362374.6673,2522270.0034,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,575.00,00:09:35.00,GPS,0,4,4637952.0372,121208.1175,4362373.8474,2522269.8589,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,580.00,00:09:40.00,GPS,0,4,4637951.5806,121208.3012,4362374.3360,2522269.8934,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,585.00,00:09:45.00,GPS,0,4,4637951.4260,121208.4059,4362374.3962,2522269.8422,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,590.00,00:09:50.00,GPS,0,4,4637951.4473,121208.5032,4362374.3907,2522269.7562,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,595.00,00:09:55.00,GPS,0,4,4637951.9218,121208.4661,4362374.1654,2522269.4959,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,600.00,00:10:00.00,GPS,0,4,4637951.0548,121208.1091,4362374.6566,2522269.7287,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,605.00,00:10:05.00,GPS,0,4,4637950.4590,121207.9368,4362374.1953,2522269.3468,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,610.00,00:10:10.00,GPS,0,4,4637950.7288,121208.2909,4362374.1275,2522269.7409,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,615.00,00:10:15.00,GPS,0,4,4637950.9458,121208.0504,4362374.6776,2522269.9506,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,620.00,00:10:20.00,GPS,0,4,4637951.8802,121208.5657,4362374.5942,2522270.5871,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,625.00,00:10:25.00,GPS,0,4,4637950.2987,121208.0135,4362374.3934,2522269.1808,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2015,006,630.00,00:10:30.00,GPS,0,4,4637951.9326,121208.3989,4362375.6188,2522270.6218,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
